index,type,params,density
34,Clifford,"[0.8215998444567969, 0.7609275671909312, -1.3131564852761626, -1.9788694115078513, 1.7815164747652261, 1.2219854263558196]",0.6657
35,Hopalong1,"[-0.49467660028108185, -0.9779365468432071, -0.6807119736249008, 0.13904005430937105]",0.2498
36,Hopalong1,"[-0.6127608800245765, 0.165718827676967, 0.7421938249939704, 0.2484329144094337]",0.2596
37,De_Jong,"[0.7092419877298151, 0.3680932472452838, -0.7917273555084883, -1.943500200613673, -1.8366651991869278, -1.9428151729178866]",0.471
38,Hopalong1,"[-0.05455511018002612, 0.2707296575064633, 0.49810901109127537, 0.9902302611531606]",0.1547
39,Clifford,"[-0.32971058584851143, 0.17488968074364597, -0.928755422596518, -1.9362423895819036, -1.2422280262322416, 0.6771279085563369]",0.2408
40,Hopalong1,"[0.9825084868650347, -0.5097028859386297, -0.5349897180558267, -0.8410894019256916]",0.257
41,De_Jong,"[-0.2831522083559037, -0.31518593728299993, 0.3231321308332089, -1.6767448208399376, 1.649067521558579, 1.7090231452641853]",0.1908
42,Hopalong1,"[0.9277661048975441, 0.33580937265784794, 0.8096705381777785, 0.3898046358465186]",0.2874
43,Clifford,"[-0.33704209444599154, -0.45270875121824194, -1.9858048724029533, -0.6380457810987497, -1.9400230248042445, -0.5395912484974352]",0.231
44,Hopalong1,"[-0.7592194270786234, 0.48175819160489186, 0.5494785202878067, -0.17617423655689013]",0.1353
45,Fractal_Dream,"[-0.11060579693635653, -0.8477895985510218, -1.162208433923381, 0.687012455454596, -1.1600588662518012, 1.7105094068812607]",0.176
46,Hopalong1,"[-0.8085328978453783, -0.12437435822582321, 0.2679811358483246, 0.4226565861446463]",0.1174
47,Hopalong1,"[-0.7714752509744063, -0.4649839973511487, -0.08432190954427865, 0.444662966691429]",0.2752
48,Hopalong1,"[0.5627111976807462, 0.700295669465796, 0.3752749693763662, -0.9496670701528396]",0.2023
49,De_Jong,"[0.5393790022304623, -0.8135391380904358, 0.2689204368899851, -1.5295877148671306, 0.23734376997706397, -1.8163535272004148]",0.2022
50,De_Jong,"[-0.8846443110874649, 0.21062075472403663, -1.9689859944183836, 1.200082081729906, -1.437866080923746, -0.5268641827933052]",0.0579
51,Hopalong1,"[-0.37375665303817107, -0.9264130873457161, 0.5444008825823723, -0.8676187660993768]",0.1233
52,Clifford,"[0.9542482860345869, 0.49687084981420226, -1.9078450616884424, 1.3031757410637668, 0.0005392915006696697, 1.5121833039051809]",0.1258
53,Hopalong1,"[-0.19797997823496005, -0.7985512681423972, -0.7474914042110898, -0.7883481482877934]",0.12
54,Hopalong1,"[-0.4237793548817421, -0.6846184990662756, 0.7505171986827448, -0.9047914098528735]",0.2039
55,De_Jong,"[-0.3520518021827932, -0.7786102890268418, -1.9936777303085544, 1.3195044141558143, -1.4313595331285098, 1.2993596190950396]",0.5047
56,Hopalong1,"[-0.3726364627772283, -0.19485583310650578, 0.034302061512220705, 0.6135656787209838]",0.2685
57,Clifford,"[-0.8629201327593983, 0.26493766214398384, 1.0746871875496287, 1.7715702330187173, 1.2312740869540009, 0.7269927080743117]",0.3994
58,De_Jong,"[-0.1725514148366012, 0.6568927261234909, 1.7688121182089995, 1.2621529516725913, 1.9290487394576297, -1.0075953089881242]",0.3972
59,Clifford,"[-0.7038764453151634, -0.48942035363121095, -1.8663933932054033, -1.3054889800370484, 1.2860061396623026, -0.1902920411745792]",0.0911
60,De_Jong,"[-0.13121574747028997, 0.9729042492955162, -1.6906943419994143, 1.339485275409983, 1.5659083286617181, 1.5882367569078761]",0.7635
61,De_Jong,"[0.7451425573336172, -0.009049063265379464, -1.5419898943136476, -1.2392395805411476, -0.6829977830923726, 1.7557070189826458]",0.2489
62,De_Jong,"[-0.4803064590018393, -0.4830808378835596, -1.2300595430053711, -0.8607845656106403, -1.7548366366596584, -1.8953217356479293]",0.3839
63,Hopalong1,"[0.5608533886236637, -0.2583344442735198, 0.9454048874405125, -0.6446297326133734]",0.3474
64,Hopalong1,"[0.20999597335628484, -0.9216406150098255, -0.371723354222393, 0.689671685997628]",0.1414
65,Fractal_Dream,"[-0.24883471934029533, -0.7437842405495498, -1.9170277346974425, -0.7498704793547866, 0.03760451583374991, 1.3713465998936658]",0.1071
66,Hopalong1,"[-0.19962676899747933, -0.843560688050321, -0.98448220418594, -0.5921895567827844]",0.3244
67,Fractal_Dream,"[-0.36235850131479586, -0.4768781978122949, 1.456039181429087, 1.1027148729525815, -0.1243006403080047, -1.8198395759853487]",0.1547
68,Clifford,"[-0.33590117269393116, 0.7849481741648408, -1.1569886117021757, -1.2646010174328013, 1.1759182871589893, -1.1615301617003597]",0.1315
69,Clifford,"[0.5083911699340689, 0.5453905257631169, 1.2097495688036934, -0.9497344895989466, 1.859580114952764, -1.7153671868474079]",0.4482
70,Clifford,"[0.6918485583682485, -0.7915068394057692, -1.9238429925264469, 1.9292967664958085, 1.6932136501678294, 0.8502889255379968]",0.645
71,Hopalong1,"[0.05784023479111711, -0.6278002264688984, 0.7660072468925225, 0.682076933242775]",0.2401
72,Clifford,"[0.058060452249497185, -0.2652884151032582, 1.221093870871456, -1.2460833315355928, -1.0945577968462543, 1.8969375575560474]",0.7952
73,Hopalong1,"[0.5512093529240509, 0.4993595756970659, 0.6410922059187754, 0.28801585865112256]",0.441
74,Hopalong1,"[0.9001955980661163, -0.12510690975522376, 0.44276168259974225, -0.3018338584350395]",0.1211
75,De_Jong,"[-0.5089856084461792, 0.9173547132648334, 1.7425047970104024, 0.7115173633392189, -1.791618929941674, -0.5049180970749068]",0.1186
76,De_Jong,"[-0.5296902256673828, -0.008516440672075687, 1.5730764540861442, -1.3928468674438377, 1.1083986998608482, 1.8989284940215394]",0.2543
77,Hopalong1,"[0.3620137115916726, 0.45567076269714324, -0.3948599019727672, -0.5560671341002097]",0.2269
78,Clifford,"[-0.5938409474485744, -0.6495424761391138, -1.948486457678221, 0.44654968106683945, -1.8510124876281724, 0.23909235068526957]",0.2257
79,Hopalong1,"[0.350245621593255, -0.9802125695659156, -0.23552816267958088, -0.8794732806201782]",0.2839
80,Hopalong1,"[-0.40931718850421395, -0.22924871815368442, -0.052950768248072766, -0.15183510931682043]",0.2726
81,Clifford,"[0.05677644693055606, 0.8234701334662795, 1.5657499201157576, -1.6267583293430903, 0.10941775599829162, -0.9124935066280795]",0.3099
82,Hopalong1,"[-0.8469308740499921, 0.7902711145583798, 0.9817976220942131, 0.1817985973151508]",0.1693
83,Hopalong1,"[0.6877449711787922, -0.7327082002032559, 0.7167361005344, 0.4937063977925731]",0.292
84,Hopalong1,"[0.02389455695648013, 0.9679046380989087, 0.7706683512967887, 0.7742117551617287]",0.1139
85,De_Jong,"[0.7604290014634951, 0.34578775141616824, 0.202941719719274, 1.650215588674508, 1.0730292905404504, 1.239844883914997]",0.1199
86,Fractal_Dream,"[-0.6638510519448462, 0.13305109562824935, -0.39205976085554983, -1.7160123800103122, 1.7727196928191469, 1.806581753753795]",0.2826
87,Hopalong1,"[0.6487787275580725, -0.797898221594207, -0.437753762802529, -0.9516684316762714]",0.1318
